종목명,자산 총액,부채 총액,자본 총액,매출액,영업이익,순이익,현금 흐름,종목코드,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,BVPS,적정 주가
KH 필룩스,1016337665951,591800589892,424537076059,39287149235,-1772630443,-51570013895,-4201823506,033180,KOSPI,,6630,0,0.0,0,0,0,0,0,125330728770,18903579,22458.026390611005,22458.026390611005
현대지에프홀딩스,5426832417000,1846923732000,3579908685000,1168316036000,36780394000,71870854000,32165352000,005440,KOSPI,,4180,-70,-1.65,4250,4250,4165,139379,585311415,651679978180,155904301,22962.2188870851,22962.2188870851
KPX홀딩스,1948582257640,485076067089,1463506190551,291023296038,18065306970,23430843123,48397599342,092230,KOSPI,,57100,600,1.06,56900,57100,56700,282,16059500,241227286600,4224646,346421.02333568304,346421.02333568304
경방,1202827780617,468095999888,734731780729,97940107471,13032864041,1658963427,23980146616,000050,KOSPI,,7210,-110,-1.5,7320,7350,7000,10750,76662800,197664096700,27415270,26800.092821591763,26800.092821591763
원익홀딩스,1859199902582,597805740832,1261394161750,116810741017,-2905059027,-23974956040,12329951789,030530,KOSDAQ,우량기업부,3225,25,0.78,3170,3225,3170,80012,256203365,249092488725,77237981,16331.26792568542,16331.26792568542
SK디스커버리,12931850478129,6922596919041,6009253559088,2158526537561,39468629147,-21905168242,-19540639110,006120,KOSPI,,38100,-250,-0.65,38300,38450,37950,12195,465552150,715741075500,18785855,319881.82380243007,319881.82380243007
인터지스,432042035546,168640930085,263401105461,157100903202,3626702048,2757068139,3771826900,129260,KOSPI,,2265,15,0.67,2250,2360,2235,480534,1101937975,67378934610,29747874,8854.451429402989,8854.451429402989
HL D&I,1732893349851,1265883259991,467010089860,398523227859,18329447936,11912135387,46292204135,014790,KOSPI,,2435,-140,-5.44,2575,2575,2405,231962,569225065,92185693435,37858601,12335.640449577098,12335.640449577098
파커스,119863245934,71545098207,48318147727,17055560544,-832504879,-683029307,-857352579,065690,KOSDAQ,투자주의환기종목(소속부없음),1020,0,0.0,1020,1029,1008,11291,11455834,14330317620,14049331,3439.1778318127745,3439.1778318127745
우성,436256414117,256999527731,179256886386,151767571608,2700767803,-2238002163,-11579408473,006980,KOSPI,,17750,20,0.11,17720,18280,17600,1838,32475320,54847500000,3090000,58011.93734174757,58011.93734174757
KC그린홀딩스,801544315224,550901829643,250642485581,156509150575,-7950575234,96770107058,-11021851982,009440,KOSPI,,1649,4,0.24,1645,1749,1637,96666,163343705,36995282020,22434980,11171.950480053916,11171.950480053916
대림제지,317089646443,49806426709,267283219734,41071144985,4787379023,5276127151,7303428222,017650,KOSDAQ,우량기업부,7850,20,0.26,7730,7850,7730,1587,12362680,70650000000,9000000,29698.135526,29698.135526
이건홀딩스,790621250929,419923760397,370697490532,110659441095,-387458181,-3369482848,-5407238710,039020,KOSDAQ,중견기업부,2285,-10,-0.44,2290,2300,2275,25905,59210905,51606060065,22584709,16413.649187687122,16413.649187687122
상상인,6615622102595,5799274992183,816347110412,228512334881,-59175330077,18157372078,601831217067,038540,KOSDAQ,우량기업부,3035,-35,-1.14,3050,3065,2995,18815,56713665,167921429955,55328313,14754.59970037402,14754.59970037402
유진기업,2528604149804,1299429835487,1229174314317,334985602592,7954725073,13711831431,5070300781,023410,KOSDAQ,우량기업부,3595,-20,-0.55,3590,3635,3590,106248,382997975,277932552485,77310863,15899.11516466968,15899.11516466968
우진아이엔에스,107778278275,13541168906,94237109369,24981416274,-3060456370,-1388787632,-6437751079,010400,KOSPI,,3725,-120,-3.12,3810,3850,3725,3230,12098175,28391950000,7622000,12363.829620703227,12363.829620703227
우리엔터프라이즈,689707985434,361533828558,328174156876,298556938012,3617111112,4399906379,24431084702,037400,KOSDAQ,우량기업부,1424,47,3.41,1380,1517,1380,593470,861911150,37342044704,26223346,12514.579828066182,12514.579828066182
DRB동일,942899193206,439643891360,503255301846,179784461505,8245896784,4645733969,321356967,004840,KOSPI,,5120,-50,-0.97,5100,5160,5070,19120,97803010,102041600000,19930000,25251.144096638232,25251.144096638232
롯데지주,23560028833871,13726987564207,9833041269664,3737751206656,69341290834,-18632290687,31063778013,004990,KOSPI,,24500,100,0.41,24400,24550,24350,63179,1543573400,2570276306500,104909237,93729.03236026777,93729.03236026777
LF,2807549937099,1093928602962,1713621334137,446637371384,24619762976,21008463216,-20035632349,093050,KOSPI,,14050,50,0.36,14070,14070,13900,27768,388864800,410822000000,29240000,58605.38078443913,58605.38078443913
현대홈쇼핑,5226785733229,1410299269994,3816486463235,996376778726,58206513922,119724744786,100973595543,057050,KOSPI,,47150,-400,-0.84,47400,47600,46750,7824,368301650,565800000000,12000000,318040.53860291664,318040.53860291664
삼양홀딩스,5052640545501,2202246312194,2850394233307,871146354566,34730419133,44202572822,1207911726,000070,KOSPI,,68200,-600,-0.87,69000,69000,68000,4654,318553300,584083282200,8564271,332823.9184989592,332823.9184989592
휴스틸,1462332668324,363628998388,1098703669936,169972554454,18301322164,21541597424,-17997095332,005010,KOSPI,,4620,-190,-3.95,4730,4775,4620,849901,3979338240,259588906500,56188075,19554.036509277103,19554.036509277103
베뉴지,640825342905,281174947050,359650395855,14074955383,1507344769,194584942,2269170504,019010,KOSDAQ,우량기업부,2035,-5,-0.25,2015,2040,2015,12370,25033715,98087000000,48200000,7461.626470020747,7461.626470020747
지역난방공사,8116940029972,5882775402869,2234164627103,1374588219780,208551635773,142450542446,292580315552,071320,KOSPI,,47200,-250,-0.53,47900,48200,46750,4378,206523550,546516716800,11578744,192953.97040499383,192953.97040499383
모베이스,1116265041271,659711529015,456553512256,321490150095,16039028098,16816447707,22829072821,101330,KOSDAQ,우량기업부,3595,-35,-0.96,3620,3650,3595,48399,174954235,83213569255,23147029,19724.06533279066,19724.06533279066
