종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"078150","HB테크놀러지","KOSDAQ","우량기업부","3010","-185","-5.79","3150","3185","3010","4270497","13147101285","279074907160","92715916"
"012630","HDC","KOSPI",,"8970","180","2.05","8770","9060","8770","167575","1499745120","535883237370","59741721"
"039570","HDC랩스","KOSPI",,"8350","-30","-0.36","8350","8470","8250","18874","157149860","216745968350","25957601"
"089470","HDC현대EP","KOSPI",,"4075","5","0.12","4105","4115","4055","10294","42081645","129992500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"19950","-150","-0.75","20050","20350","19750","216500","4345616720","1314851233500","65907330"
"009540","HD한국조선해양","KOSPI",,"189000","-700","-0.37","189700","190500","183600","444894","83185160200","13376118924000","70773116"
"267250","HD현대","KOSPI",,"80500","0","0.00","80500","82800","79800","156985","12729251800","6358943342500","78993085"
"267270","HD현대건설기계","KOSPI",,"63900","-3400","-5.05","65400","66900","61500","895891","57576668800","1204329434400","18847096"
"443060","HD현대마린솔루션","KOSPI",,"132700","0","0.00","135400","139300","130700","364407","49186677600","5898515000000","44450000"
"010620","HD현대미포","KOSPI",,"103700","-500","-0.48","103600","105300","101300","285518","29557717800","4142000851300","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"25100","650","2.66","24700","26300","24700","228076","5825327500","281120000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"8140","-690","-7.81","8740","8760","8130","7473522","62112242500","1624772107420","199603453"
"267260","HD현대일렉트릭","KOSPI",,"365500","19500","5.64","351000","374500","345500","1364773","492449171000","13175227842500","36047135"
"329180","HD현대중공업","KOSPI",,"175500","600","0.34","175800","178200","170000","216272","37684789700","15579681858000","88773116"
"097230","HJ중공업","KOSPI",,"3485","-55","-1.55","3585","3585","3450","203139","711092720","290210869285","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","중견기업부","41600","950","2.34","40450","41600","40400","121814","5025679750","1178523465600","28329891"
"014790","HL D&I","KOSPI",,"2435","-140","-5.44","2575","2575","2405","231962","569225065","92185693435","37858601"
"028300","HLB","KOSDAQ","중견기업부","80600","-2400","-2.89","83500","83900","80300","921262","75103129300","10546136338400","130845364"
"003580","HLB글로벌","KOSPI",,"5620","-210","-3.60","5870","5900","5600","283622","1620248650","266449213040","47410892"
"278650","HLB바이오스텝","KOSDAQ","우량기업부","2565","-40","-1.54","2600","2635","2555","296034","768205790","222463960785","86730589"
"343090","HLB사이언스","KONEX","일반기업부","2255","-40","-1.74","2295","2340","2200","6122","13594560","37073117785","16440407"
"067630","HLB생명과학","KOSDAQ","중견기업부","10780","-220","-2.00","11010","11080","10780","577820","6299214930","1279226519340","118666653"
"024850","HLB이노베이션","KOSDAQ","중견기업부","3010","-35","-1.15","3060","3125","3010","171389","522570625","217857945550","72378055"
"047920","HLB제약","KOSDAQ","기술성장기업부","25850","-750","-2.82","26750","27000","25800","285729","7516638900","822029844900","31799994"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","9010","410","4.77","8800","9250","8700","1160085","10418745500","714034733380","79249138"
"046210","HLB파나진","KOSDAQ","벤처기업부","3690","-45","-1.20","3720","3780","3680","193840","720663920","151343604630","41014527"
"204320","HL만도","KOSPI",,"40150","-1750","-4.18","41500","41750","39950","218604","8888260650","1885328368000","46957120"
"060980","HL홀딩스","KOSPI",,"33450","100","0.30","33200","33550","33200","5753","192081650","340166764500","10169410"
"011200","HMM","KOSPI",,"16970","70","0.41","16770","17060","16700","1226039","20684083500","12711200247120","749039496"
"403870","HPSP","KOSDAQ GLOBAL","중견기업부","32800","-1300","-3.81","32550","33650","31650","2062600","67366457244","2720239923200","82934144"
"036640","HRS","KOSDAQ","우량기업부","5310","-40","-0.75","5320","5390","5290","82131","436683370","86843988000","16354800"
"035000","HS애드","KOSPI",,"6290","-20","-0.32","6210","6300","6210","8073","50443490","104209002610","16567409"
"002460","HS화성","KOSPI",,"9110","-40","-0.44","9120","9180","9090","3424","31224230","92466500000","10150000"
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)","2435","15","0.62","2420","2470","2415","1775","4298160","10494850000","4310000"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2380","10","0.42","2380","2385","2370","6375","15110230","10019800000","4210000"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","2290","-5","-0.22","2320","2325","2285","8431","19322195","10144700000","4430000"
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)","2205","-20","-0.90","2230","2235","2200","9383","20670315","9327150000","4230000"
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)","2235","0","0.00","2215","2235","2210","554","1229650","9454050000","4230000"
"003560","IHQ","KOSPI",,"10760","0","0.00","0","0","0","0","0","59719334240","5550124"
"095340","ISC","KOSDAQ","우량기업부","52700","0","0.00","52300","53700","52000","106976","5656273000","1117084956600","21197058"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"175330","JB금융지주","KOSPI",,"14920","-10","-0.07","14790","15150","14780","182963","2729815970","2910641314160","195083198"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","5760","60","1.05","5700","5770","5660","61567","353167780","298058964480","51746348"
"234080","JW생명과학","KOSPI",,"11910","50","0.42","11770","11970","11770","18697","221996100","188589538140","15834554"
"067290","JW신약","KOSDAQ","중견기업부","1815","-14","-0.77","1830","1865","1815","185903","342772381","92277326130","50841502"
"001060","JW중외제약","KOSPI",,"31900","-300","-0.93","32200","32500","31450","98506","3143913600","742821167000","23285930"
"001067","JW중외제약2우B","KOSPI",,"57500","0","0.00","57500","57500","57500","1","57500","12073447500","209973"
"001065","JW중외제약우","KOSPI",,"30700","-250","-0.81","30500","30700","30500","51","1561850","10497895700","341951"
"096760","JW홀딩스","KOSPI",,"3320","20","0.61","3270","3360","3270","52740","174880855","245430807440","73924942"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","55100","-1200","-2.13","55700","56500","54800","324861","17988516700","1957840309200","35532492"
"318000","KBG","KOSDAQ","벤처기업부","6170","0","0.00","6100","6310","5870","25227","154291600","53927175910","8740223"
"024840","KBI메탈","KOSDAQ","중견기업부","2485","-140","-5.33","2640","2650","2480","1546394","3916499610","86749359515","34909199"
"105560","KB금융","KOSPI",,"84600","-3700","-4.19","89400","90500","84400","2808718","242380451660","34137036691200","403511072"
"432320","KB스타리츠","KOSPI",,"4550","40","0.89","4510","4555","4475","60382","272971515","461434996750","101414285"
"024120","KB오토시스","KOSDAQ","중견기업부","4145","-35","-0.84","4120","4200","4105","39031","161071455","47667500000","11500000"
"455250","KB제25호스팩","KOSDAQ","SPAC(소속부없음)","2640","0","0.00","0","0","0","0","0","11365200000","4305000"
"458320","KB제26호스팩","KOSDAQ","SPAC(소속부없음)","2485","0","0.00","0","0","0","0","0","13679925000","5505000"
"464680","KB제27호스팩","KOSDAQ","SPAC(소속부없음)","2000","-10","-0.50","2010","2015","2000","44962","90186145","25810000000","12905000"
"476470","KB제28호스팩","KOSDAQ","SPAC(소속부없음)","2190","-10","-0.45","2200","2200","2180","12758","27955035","12055950000","5505000"
"478390","KB제29호스팩","KOSDAQ","SPAC(소속부없음)","2130","0","0.00","2110","2140","2110","48328","102716585","13248600000","6220000"
