종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"297570","알로이스","1108","-10","-0.89","141","7.86",,,"1175","0.94","0","0.00"
"001780","알루코","2720","-20","-0.73","201","13.53",,,"2883","0.94","0","0.00"
"260660","알리코제약","4425","-25","-0.56","204","21.69",,,"5933","0.75","130","2.94"
"354320","알멕","32900","-150","-0.45",,,,,"20780","1.58","0","0.00"
"361570","알비더블유","2395","-50","-2.04",,,,,"2576","0.93","0","0.00"
"131370","알서포트","3330","-70","-2.06","139","23.96",,,"1777","1.87","10","0.30"
"140670","알에스오토메이션","14550","640","4.60",,,,,"3881","3.75","0","0.00"
"096610","알에프세미","2965","0","0.00",,,,,"841","3.53","0","0.00"
"061040","알에프텍","3605","-20","-0.55","128","28.16",,,"7406","0.49","0","0.00"
"148250","알엔투테크놀로지","4105","5","0.12",,,,,"5260","0.78","30","0.73"
"347860","알체라","3180","-20","-0.63",,,,,"389","8.17","0","0.00"
"196170","알테오젠","304500","19500","6.84",,,"331","919.61","2795","108.94","0","0.00"
"123750","알톤","1705","-36","-2.07",,,,,"2079","0.82","0","0.00"
"085810","알티캐스트","805","-33","-3.94",,,,,"792","1.02","0","0.00"
"117670","알파홀딩스","945","0","0.00",,,,,"921","1.03","0","0.00"
"314140","알피바이오","7780","80","1.04","630","12.35",,,"11878","0.65","50","0.64"
"291650","압타머사이언스","2765","25","0.91",,,,,"865","3.20","0","0.00"
"293780","압타바이오","13470","1010","8.11",,,,,"2328","5.79","0","0.00"
"018250","애경산업","20550","-150","-0.72","1897","10.83","2179","9.43","14771","1.39","580","2.82"
"161000","애경케미칼","11460","60","0.53","686","16.71",,,"15256","0.75","250","2.18"
"196300","애니젠","13880","-170","-1.21",,,,,"1772","7.83","0","0.00"
"310200","애니플러스","2995","0","0.00","204","14.68",,,"2104","1.42","0","0.00"
"299910","애닉","6880","0","0.00",,,,,"350","19.66","0","0.00"
"179530","애드바이오텍","2940","100","3.52",,,,,"1465","2.01","0","0.00"
"205500","액션스퀘어","1470","-5","-0.34",,,,,"580","2.53","0","0.00"
"052790","액토즈소프트","8110","-40","-0.49","3115","2.60",,,"22769","0.36","0","0.00"
"290740","액트로","6920","-130","-1.84","616","11.23",,,"7315","0.95","100","1.45"
"238090","앤디포스","4250","-170","-3.85",,,,,"5287","0.80","0","0.00"
"092600","앤씨앤","1234","-1","-0.08",,,,,"1511","0.82","148","11.99"
"129890","앱코","1260","-6","-0.47","36","35.00",,,"1149","1.10","0","0.00"
"174900","앱클론","15050","-130","-0.86",,,,,"1619","9.30","0","0.00"
"255440","야스","8650","420","5.10",,,,,"12055","0.72","0","0.00"
"030960","양지사","9030","-100","-1.10","89","101.46",,,"13503","0.67","50","0.55"
"102120","어보브반도체","14400","-350","-2.37",,,,,"6362","2.26","100","0.69"
"263540","어스앤에어로스페이스","5950","0","0.00",,,,,,,"0","0.00"
"238120","얼라인드","3570","30","0.85","225","15.87",,,"2178","1.64","0","0.00"
