종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"054800","아이디스홀딩스","9230","30","0.33","2624","3.52",,,"29473","0.31","250","2.71"
"332370","아이디피","3135","35","1.13","451","6.95",,,"4127","0.76","120","3.83"
"122900","아이마켓코리아","8590","10","0.12","481","17.86","793","10.84","10917","0.79","600","6.98"
"339950","아이비김영","1768","4","0.23","180","9.82",,,"1036","1.71","20","1.13"
"099190","아이센스","19000","-1700","-8.21","135","140.74","250","75.88","10337","1.84","100","0.53"
"289010","아이스크림에듀","3085","-15","-0.48",,,,,"3522","0.88","0","0.00"
"214430","아이쓰리시스템","36600","550","1.53","1810","20.22","2068","17.70","12937","2.83","350","0.96"
"040910","아이씨디","7080","-50","-0.70",,,,,"8064","0.88","0","0.00"
"368600","아이씨에이치","4270","35","0.83",,,,,"3173","1.35","0","0.00"
"456010","아이씨티케이","8230","30","0.37",,,,,"847","9.72","0","0.00"
"052860","아이앤씨","2090","0","0.00",,,,,"2529","0.83","0","0.00"
"010780","아이에스동서","23800","100","0.42","5338","4.46","4077","5.84","51629","0.46","1500","6.30"
"069920","아이에스이커머스","2600","-110","-4.06",,,,,"1632","1.59","0","0.00"
"038880","아이에이","227","1","0.44",,,,,"267","0.85","0","0.00"
"307180","아이엘사이언스","3050","20","0.66",,,,,"221","13.80","0","0.00"
"101390","아이엠","5170","-20","-0.39",,,"479","10.78","2533","2.04","0","0.00"
"461030","아이엠비디엑스","16260","950","6.21",,,,,"729","22.30","0","0.00"
"451220","아이엠티","15220","-30","-0.20",,,,,"3372","4.51","0","0.00"
"078860","아이오케이","9750","90","0.93",,,,,"15951","0.61","0","0.00"
"090150","아이윈","1038","-6","-0.57",,,,,"1021","1.02","0","0.00"
"123010","아이윈플러스","910","-1","-0.11",,,,,"1393","0.65","0","0.00"
"031310","아이즈비전","2155","-5","-0.23",,,,,"6617","0.33","0","0.00"
"185490","아이진","2785","65","2.39",,,,,"2339","1.19","0","0.00"
"059100","아이컴포넌트","4555","5","0.11",,,,,"5380","0.85","0","0.00"
"262840","아이퀘스트","2370","0","0.00","172","13.78",,,"2478","0.96","100","4.22"
"175250","아이큐어","3000","-50","-1.64",,,,,"1558","1.93","0","0.00"
"052460","아이크래프트","2820","-15","-0.53","381","7.40",,,"3153","0.89","80","2.84"
"119830","아이텍","7240","-50","-0.69",,,,,"6760","1.07","0","0.00"
"052770","아이톡시","1660","3","0.18",,,,,"277","5.99","0","0.00"
"124500","아이티센","4565","15","0.33","32","142.66",,,"3038","1.50","0","0.00"
"372800","아이티아이즈","5090","50","0.99",,,,,"2856","1.78","0","0.00"
"084850","아이티엠반도체","19130","10","0.05",,,"360","53.10","8941","2.14","0","0.00"
"114840","아이패밀리에스씨","36700","550","1.52","1167","31.45","2488","14.75","4012","9.15","158","0.43"
"027360","아주IB투자","2570","15","0.59","141","18.23",,,"2185","1.18","50","1.95"
"139990","아주스틸","4995","-35","-0.70",,,,,"8333","0.60","0","0.00"
"032080","아즈텍WB","1334","-10","-0.74",,,,,"5163","0.26","0","0.00"
"013310","아진산업","3150","-5","-0.16","1315","2.40",,,"7523","0.42","100","3.17"
"059120","아진엑스텍","9490","20","0.21","54","175.74",,,"4694","2.02","0","0.00"
"158430","아톤","3890","-55","-1.39","437","8.90",,,"3537","1.10","30","0.77"
"321820","아티스트유나이티드","10580","-340","-3.11",,,,,"2115","5.00","0","0.00"
"001540","안국약품","7750","160","2.11","114","67.98",,,"13382","0.58","220","2.84"
"053800","안랩","58300","-900","-1.52","4125","14.13",,,"32433","1.80","1300","2.23"
"065660","안트로젠","15390","210","1.38",,,,,"13302","1.16","0","0.00"
"297570","알로이스","1108","-10","-0.89","141","7.86",,,"1175","0.94","0","0.00"
"001780","알루코","2730","-10","-0.36","201","13.58",,,"2883","0.95","0","0.00"
"260660","알리코제약","4460","10","0.22","204","21.86",,,"5933","0.75","130","2.91"
"354320","알멕","32950","-100","-0.30",,,,,"20780","1.59","0","0.00"
"361570","알비더블유","2385","-60","-2.45",,,,,"2576","0.93","0","0.00"
"131370","알서포트","3330","-70","-2.06","139","23.96",,,"1777","1.87","10","0.30"
"140670","알에스오토메이션","14660","750","5.39",,,,,"3881","3.78","0","0.00"
"096610","알에프세미","2965","0","0.00",,,,,"841","3.53","0","0.00"
"061040","알에프텍","3605","-20","-0.55","128","28.16",,,"7406","0.49","0","0.00"
"148250","알엔투테크놀로지","4095","-5","-0.12",,,,,"5260","0.78","30","0.73"
"347860","알체라","3180","-20","-0.63",,,,,"389","8.17","0","0.00"
"196170","알테오젠","304500","19500","6.84",,,"331","919.61","2795","108.94","0","0.00"
"123750","알톤","1700","-41","-2.35",,,,,"2079","0.82","0","0.00"
"085810","알티캐스트","822","-16","-1.91",,,,,"792","1.04","0","0.00"
"117670","알파홀딩스","945","0","0.00",,,,,"921","1.03","0","0.00"
"314140","알피바이오","7790","90","1.17","630","12.37",,,"11878","0.66","50","0.64"
"291650","압타머사이언스","2775","35","1.28",,,,,"865","3.21","0","0.00"
"293780","압타바이오","13340","880","7.06",,,,,"2328","5.73","0","0.00"
"018250","애경산업","20650","-50","-0.24","1897","10.89","2179","9.48","14771","1.40","580","2.81"
"161000","애경케미칼","11540","140","1.23","686","16.82",,,"15256","0.76","250","2.17"
"196300","애니젠","14120","70","0.50",,,,,"1772","7.97","0","0.00"
"310200","애니플러스","3000","5","0.17","204","14.71",,,"2104","1.43","0","0.00"
"299910","애닉","6880","0","0.00",,,,,"350","19.66","0","0.00"
"179530","애드바이오텍","2875","35","1.23",,,,,"1465","1.96","0","0.00"
"205500","액션스퀘어","1471","-4","-0.27",,,,,"580","2.54","0","0.00"
"052790","액토즈소프트","8110","-40","-0.49","3115","2.60",,,"22769","0.36","0","0.00"
"290740","액트로","6860","-190","-2.70","616","11.14",,,"7315","0.94","100","1.46"
"238090","앤디포스","4310","-110","-2.49",,,,,"5287","0.82","0","0.00"
"092600","앤씨앤","1245","10","0.81",,,,,"1511","0.82","148","11.89"
"129890","앱코","1266","0","0.00","36","35.17",,,"1149","1.10","0","0.00"
"174900","앱클론","15200","20","0.13",,,,,"1619","9.39","0","0.00"
"255440","야스","8600","370","4.50",,,,,"12055","0.71","0","0.00"
"030960","양지사","9120","-10","-0.11","89","102.47",,,"13503","0.68","50","0.55"
"102120","어보브반도체","14550","-200","-1.36",,,,,"6362","2.29","100","0.69"
"263540","어스앤에어로스페이스","5950","0","0.00",,,,,,,"0","0.00"
"238120","얼라인드","3480","-60","-1.69","225","15.47",,,"2178","1.60","0","0.00"
"019990","에너토크","6920","-40","-0.57",,,,,"4287","1.61","50","0.72"
"011090","에넥스","611","1","0.16",,,,,"655","0.93","0","0.00"
"270660","에브리봇","20300","-400","-1.93","231","87.88",,,"5342","3.80","0","0.00"
"038680","에스넷","4520","85","1.92","1187","3.81","865","5.23","5419","0.83","120","2.65"
"137310","에스디바이오센서","9360","410","4.58",,,,,"23079","0.41","0","0.00"
"217480","에스디생명공학","499","0","0.00",,,,,"401","1.24","0","0.00"
"121890","에스디시스템","1866","88","4.95","208","8.97",,,"947","1.97","0","0.00"
"118000","에스메디","424","-2","-0.47",,,,,"688","0.62","0","0.00"
"304360","에스바이오메딕스","35900","-1800","-4.77",,,,,"611","58.76","0","0.00"
"389500","에스비비테크","17680","-330","-1.83",,,,,"1947","9.08","0","0.00"
"042110","에스씨디","1472","22","1.52","100","14.72",,,"2515","0.59","30","2.04"
"298060","에스씨엠생명과학","2510","-60","-2.33",,,,,"1001","2.51","0","0.00"
"065420","에스아이리소스","217","-4","-1.81",,,,,"137","1.58","0","0.00"
"103230","에스앤더블류","4335","-90","-2.03","482","8.99",,,"6310","0.69","0","0.00"
"260970","에스앤디","43450","3250","8.08","2925","14.85","4784","9.08","21830","1.99","500","1.15"
"101490","에스앤에스텍","34800","200","0.58","1234","28.20","1769","19.68","10499","3.31","150","0.43"
"095910","에스에너지","1889","41","2.22",,,,,"3269","0.58","0","0.00"
"275630","에스에스알","3425","45","1.33","293","11.69",,,"4952","0.69","0","0.00"
"031330","에스에이엠티","3410","35","1.04","336","10.15",,,"3850","0.89","200","5.87"
"060540","에스에이티","1928","-72","-3.60","62","31.10",,,"3831","0.50","50","2.59"
"351320","에스에이티이엔지","1712","86","5.29",,,,,"881","1.94","0","0.00"
