종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"044450","KSS해운","KOSPI",,"8440","30","0.36","8360","8530","8360","25961","218763740","194844827200","23085880"
"030200","KT","KOSPI",,"31900","-50","-0.16","32100","32200","31300","946753","30044174350","8329466675200","261111808"
"033780","KT&G","KOSPI",,"83800","-300","-0.36","84100","84500","83600","237941","19998793100","11505111248600","137292497"
"058850","KTcs","KOSPI",,"3315","15","0.45","3270","3320","3215","220577","724680125","141500775000","42685000"
"058860","KTis","KOSPI",,"3085","10","0.33","3075","3090","3025","170164","519926400","107364170000","34802000"
"060370","KT서브마린","KOSDAQ","중견기업부","12710","-290","-2.23","13000","13190","12340","506125","6395079090","329674928720","25938232"
"122450","KX","KOSDAQ","중견기업부","4470","-25","-0.56","4495","4535","4450","17666","79291085","202651759080","45335964"
"052900","KX하이텍","KOSDAQ","우량기업부","1241","2","0.16","1238","1246","1226","58122","71837864","68388428597","55107517"
"376190","LB루셈","KOSDAQ","중견기업부","7290","170","2.39","7120","7340","7120","19712","142671980","179334000000","24600000"
"061970","LB세미콘","KOSDAQ","우량기업부","7310","80","1.11","7230","7400","7210","337424","2454255790","320065367520","43784592"
"309960","LB인베스트먼트","KOSDAQ","중견기업부","4085","30","0.74","4050","4090","4005","12651","51248395","94842421315","23217239"
"093050","LF","KOSPI",,"14160","90","0.64","14150","14210","14070","13054","184539590","414038400000","29240000"
"003550","LG","KOSPI",,"84000","1000","1.20","83300","84800","82800","204853","17205514000","13213283412000","157300993"
"034220","LG디스플레이","KOSPI",,"14120","120","0.86","14010","14160","13920","792236","11124616360","5052357684000","357815700"
"051900","LG생활건강","KOSPI",,"439500","2000","0.46","441000","445000","437500","32330","14237597000","6864197581500","15618197"
"051905","LG생활건강우","KOSPI",,"187600","-300","-0.16","185700","188200","185700","1035","193538000","393903157200","2099697"
"373220","LG에너지솔루션","KOSPI",,"553000","28000","5.33","530000","553000","528000","485515","265315316000","129402000000000","234000000"
"003555","LG우","KOSPI",,"63300","100","0.16","63200","63600","63200","1542","97670200","191268546000","3021620"
"032640","LG유플러스","KOSPI",,"10280","190","1.88","10110","10280","10080","854909","8709412310","4488364791080","436611361"
"011070","LG이노텍","KOSPI",,"261000","-500","-0.19","262500","262500","258500","105254","27417273500","6177114927000","23667107"
"066570","LG전자","KOSPI",,"104700","2300","2.25","102900","104700","102100","758819","78674094100","17133926125800","163647814"
"066575","LG전자우","KOSPI",,"47400","600","1.28","46600","47400","46400","26918","1263921600","814616020800","17185992"
"037560","LG헬로비전","KOSPI",,"4040","15","0.37","4020","4055","3990","109592","440782355","312885334600","77446865"
"051910","LG화학","KOSPI",,"630000","15000","2.44","617000","633000","611000","204061","127734147400","44473176090000","70592343"
"051915","LG화학우","KOSPI",,"372500","5500","1.50","367000","377500","363000","30287","11315549500","2864078000000","7688800"
"079550","LIG넥스원","KOSPI",,"77200","-300","-0.39","77500","77600","76400","51578","3972174900","1698400000000","22000000"
"006260","LS","KOSPI",,"119000","4000","3.48","115200","121200","114100","898059","105984566800","3831800000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"104800","2600","2.54","103000","106400","102000","517294","53842171300","3144000000000","30000000"
"000680","LS네트웍스","KOSPI",,"6630","90","1.38","6640","7090","6480","3041026","20592415100","522463996080","78803016"
"229640","LS전선아시아","KOSPI",,"10180","1590","18.51","9090","10930","9070","17837181","181612707960","311761268220","30624879"
"108320","LX세미콘","KOSPI",,"96500","100","0.10","97000","97000","95900","44993","4338032400","1569504950000","16264300"
"001120","LX인터내셔널","KOSPI",,"36050","200","0.56","36100","36550","35450","477013","17148454550","1397298000000","38760000"
"108670","LX하우시스","KOSPI",,"48500","-1500","-3.00","49950","50500","48450","55326","2713968450","434931995000","8967670"
"108675","LX하우시스우","KOSPI",,"20350","-250","-1.21","20450","20600","20300","639","13082200","21007915500","1032330"
"383800","LX홀딩스","KOSPI",,"7880","0","0.00","7890","7920","7850","63394","500067250","601091837200","76280690"
"38380K","LX홀딩스1우","KOSPI",,"9700","30","0.31","9830","9830","9500","2133","20612810","14213264500","1465285"
"086960","MDS테크","KOSDAQ","중견기업부","2045","66","3.34","1960","2045","1960","1110707","2246554749","170395978765","83323217"
"023150","MH에탄올","KOSPI",,"7060","-10","-0.14","7010","7180","6940","9545","67006490","52092393560","7378526"
"038340","MIT","KOSDAQ","투자주의환기종목(소속부없음)","1283","0","0.00","0","0","0","0","0","33979354334","26484298"
